MCC,Название,Группа
5963,"Продажа ""от двери до двери""",Различные магазины
5964,Прямой маркетинг – торговля по каталогам,Продажи по почте/телефону
5965,Прямой маркетинг – комбинированный каталог и розничные продавцы,Продажи по почте/телефону
5966,Прямой маркетинг - исходящий телемаркетинг,Продажи по почте/телефону
5967,Прямой маркетинг – входящий телемаркетинг,Продажи по почте/телефону
5968,Прямой маркетинг – Торговые точки подписки,Продажи по почте/телефону
5969,Прямой маркетинг – другие торговые точки прямого маркетинга (нигде более не классифицированные),Продажи по почте/телефону
5970,Магазины художественных и ремесляных изделий,Различные магазины
5971,Галереи и художественные посредники,Различные магазины
5972,Магазины монет и марок (филателические и нумизматические),Различные магазины
5973,Магазины религиозных товаров,Различные магазины
5975,"Слуховые аппараты – продажа, сервис, снабжение",Различные магазины
5976,Ортопедические товары,Различные магазины
5977,Магазины косметики,Различные магазины
5978,"Магазины печатающих устройств – аренда, продажа, услуги",Различные магазины
5983,"Горючее топливо – уголь, мазут, сжиженная нефть, древесина",Различные магазины
5992,Флористика,Различные магазины
5993,Табачные магазины,Различные магазины
5994,Дилеры по продаже печатной продукции,Различные магазины
5995,Зоомагазины,Различные магазины
5996,Плавательные бассейны – продажа и снабжение,Различные магазины
5997,Магазины электрических бритвенных принадлежностей – распродажа и услуги.,Различные магазины
5998,Магазины палаток и навесов,Различные магазины
5999,Различные магазины и специальные розничные магазины,Различные магазины
6010,Финансовые учреждения – снятие наличности вручную,Поставщик услуг
6011,Финансовые учреждения – снятие наличности автоматически,Поставщик услуг
6012,Финансовые учреждения – торговля и услуги,Поставщик услуг
6022,Financial Institution (RCL Internal),Поставщик услуг
6023,State Banks (RCL Internal),Поставщик услуг
6025,National Banks (RCL Internal),Поставщик услуг
6026,National Banks Non Federal (RCL Internal),Поставщик услуг
6028,Unincorporated Private Banks (RCL Internal),Поставщик услуг
6050,Финансовые учреждения – квази-кэш,Поставщик услуг
6051,Нефинансовые учреждения – квази-кэш,Поставщик услуг
6211,Ценные бумаги – Брокеры/Дилеры,Поставщик услуг
6300,"Продажа страхования, гарантированное размещение, премии",Поставщик услуг
6381,Страховые премии,
6399,Страхование - нигде более не классифицированные,Поставщик услуг
6513,Агенты недвижимости и менеджеры - Аренда,Поставщик услуг
6529,Remote Stored Value Load - Финансовые организации,Поставщик услуг
6530,Remote Stored Value Load - Продавец,Поставщик услуг
6531,Оплата услуг – денежные переводы,Поставщик услуг
6532,Платежная операция - финансовое учреждение,Поставщик услуг
6533,Платежная операция - продавец,Поставщик услуг
6534,Денежный перевод - финансовое учреждение,Поставщик услуг
6535,Права требования на ценности — Финансовые организации,Поставщик услуг
